CCOGID,Category,Definition,Occupational Group 1 / Level 1,Occupational Group 2 / Level 2
2.1,GS,"This job family includes occupations that provide assistance in such areas as finance, human resources, facilities management, programme analysis, information coordination and dissemination, and internal and external liaison; provide programme information of a general nature and coordinate the provision of established services. The group includes occupations concerned with recording, compiling, reviewing and processing data; classifying, filing, retrieving correspondence and other reference materials; coordinating meetings and inspections.",General Administration and office support,NULL
2.1.01,GS,"Undertake office management activities such as storing, retrieving and integrating information for dissemination to staff and clients; responsible for a variety of administrative and clerical duties necessary to run an organization efficiently; plan and schedule meeting and appointments; organize and maintain paper and electronic files; monitor deadlines; conduct research and disseminate information through most appropriate means.",Executive secretarial and office support,NULL
2.1.02,GS,"Provide assistance in the administrative, financial and personnel support services of a programme, office, or organization. Work involves compiling and maintaining data; maintaining financial or other records, keeping payroll records, distributing employee salary and travel advance cheques; setting up spreadsheets, verifying statistical reports for accuracy and completeness, coordinating in office space; taking inventory, processing requisitions for equipment and supplies; maintaining office records; providing general information on and monitoring the timely accurate documentation of actions related to recruitment, appointments, promotions, transfers, allowances and benefits, travel authorizations and performance evaluations; and arranging facilities for meetings and notifying participants.",General administration related,NULL
2.1.02.a,GS,Perform administrative support functions including such tasks as the maintenance of personnel and financial records; provide financial and administrative services to support the planning and/or implementation of projects or activities within an office; maintain budgetary control records; requisition office supplies and equipment; classify and code material relating to a number of subject matter areas; make arrangements for shipment and receipt of office and project supplies and equipment.,General administration related,a. Administrative assistance
2.1.02.b,GS,"Support programme implementation by developing, assembling and maintaining data for use in the review, planning and analysis of programmes and organizational operations and by participating in or conducting studies or otherwise recording such matters as workflow, work distribution, form design and form utilization; and present such data in narrative or graphic formats as required.",General administration related,b. Programme and management analysis support
2.1.02.c,GS,"Monitor, through the compilation of information, the visual examination of the premises and the preparation of work orders, the installation, construction, maintenance, repair and housekeeping of the building, the physical plant, equipment and the grounds of the facility; arrange for and oversee changes in space and equipment, including the drafting of engineering construction drawings and of layouts for the design of interior space and of communications equipment installations; prepare cost projections and historical analyses to ensure the cost-effectiveness of operations; implement measures for the safety and security of the premises and staff, including conducting inspections, documenting unsafe conditions and accidents and presenting appropriate training; and oversee the provision of food services in all eating facilities and at official functions, including coordination with firms providing contract services.",General administration related,c. Building services support
2.1.03,GS,"Provide support in analysing data for execution of financial transactions; documenting, classifying and recording transactions in order to accumulate and provide financial information; collecting, safeguarding, investing and disbursing funds to provide social security benefits; calculating taxes and arranging payments; measuring costs; analysing credit; keeping records on financial aspects of commercial services; and keeping records on financial aspects of inventory control.",Financial management - related,NULL
2.1.03.a,GS,"Perform bookkeeping functions: document, classify and record financial transactions; post debits and credits, produce financial statements, and prepare reports and summaries for supervisors and managers; ensure the completeness and accuracy of data on accounts by verifying source documents and calculations therein; classify data in accounts or other records according to the organization's established procedures; post transactions in journals and on computer files and update the files when needed; abstract and assemble data for use in analyses; review invoices and statements to ensure that the information appearing on them is accurate and complete, reconcile computer reports with operating reports, note discrepancies; and prepare invoices.",Financial management - related,a. Accounting support
2.1.03.b,GS,"Assemble and maintain budgetary records, programme proposals and quantitative data and convert them for use in a set of financial estimates (budget or plan): prepare for entry or enter numerical data on expenditures into appropriate accounts; compare accounting and budgeting records and report discrepancies; and assemble programme, accounting and other quantitative data into categories needed for analytic purposes.",Financial management - related,b. Budgeting support
2.1.03.c,GS,"Assist in the research and collection of data on current economic and market conditions; monitor investment transactions; compile and process information for the purchase and sale of securities; assist in portfolio reviews; obtain stock market prices; construct and maintain valuation models; document and record transactions needed for collecting, safeguarding, investing and disbursing funds; verify source documents and calculations therein; classify and enter data or prepare data for entry into computer storage; collect and present financial and quantitative data; and count, receive and pay out currency.",Financial management - related,c. Treasury and investment management support
