CITY_CODE,CITY_NAME,CITY_COMMON_NAME,COUNTRY_CODE,COUNTRY_NAME,REGION,SUBREGION,LATITUDE,LONGITUDE,EFFECTIVE,OBSOLETE
AA890,Aachen,Aachen,5250,Germany,Europe,Western Europe,50.7767,6.083611111,,0
AA337,Aathbiskot,Aathbiskot,2970,Nepal,Asia,Southern Asia,28.8,82.39,,0
AB010,Aba,Aba,990,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,3.8621,30.232026,2021,0
AB020,Abakaliki,Abakaliki,3210,Nigeria,Africa,Sub-Saharan Africa,6.3162,8.11691,,0
AB010,Abala,Abala,3380,Republic of the Congo,Africa,Sub-Saharan Africa,-3.36,15.47583,2021,0
AB010,Abala,Abala,3180,Niger,Africa,Sub-Saharan Africa,14.9307,3.432529,2021,0
AB007,Abbassia,Abbassia,4500,Egypt,Africa,Northern Africa,30.065,31.27171,,0
AB010,Abbotabad,Abbottabad,3300,Pakistan,Asia,Southern Asia,34.1467,73.216389,,0
AB385,Abbotsford,Abbotsford,720,Canada,Americas,Northern America,49.0937,-122.321777,,0
AB010,Abeche,Abeche,810,Chad,Africa,Sub-Saharan Africa,13.828,20.828365,2021,0
AB020,Abengoura,Abengourou,2250,Côte d'Ivoire,Africa,Sub-Saharan Africa,7.9387,-5.31791,,0
AB030,Abeokuta,Abeokuta,3210,Nigeria,Africa,Sub-Saharan Africa,10.8395,4.20094,,0
AB020,Aberdeen,Aberdeen,4530,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,57.167,-2.10517,,0
AB893,Aberystwyth,Aberystwyth,4530,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,52.4142,-4.08583,,0
AB010,Abha,Abha,3780,Saudi Arabia,Asia,Western Asia,18.2164,42.50528,,0
AB255,Abi-adi,Abi-adi,1410,Ethiopia,Africa,Sub-Saharan Africa,13.5608,38.9739,,0
AB010,Abidjan,Abidjan,2250,Côte d'Ivoire,Africa,Sub-Saharan Africa,5.3097,-4.012648,2021,0
AB010,Abim,Abim,4380,Uganda,Africa,Sub-Saharan Africa,2.7017,33.67611,,0
AB030,Abohar,Abohar,2040,India,Asia,Southern Asia,30.1445,74.19552,,0
AB030,Aboisso,Aboisso,2250,Côte d'Ivoire,Africa,Sub-Saharan Africa,5.7351,-3.40338,,0
