ISO3,NATIONALITY_NAME,COUNTRY_CODE,REGION,SUBREGION,LATITUDE,LONGITUDE,UPDATED,OBSOLETE
AFG,Afghanistan,60,Asia,Southern Asia,"3,452,813","6,917,233",,0
ALB,Albania,90,Europe,Southern Europe,"413,275","1,981,889",,0
DZA,Algeria,120,Africa,Northern Africa,"3,673,225","308,746",,0
AND,Andorra,5050,Europe,Southern Europe,"4,250,779","152,109",,0
AGO,Angola,6810,Africa,Sub-Saharan Africa,"-883,682","1,323,432",,0
ATG,Antigua and Barbuda,6010,Americas,Latin America and the Caribbean,"1,712,096","-6,184,329",,0
ARG,Argentina,240,Americas,Latin America and the Caribbean,"-3,461,315","-5,837,723",,0
ARM,Armenia,1075,Asia,Western Asia,"4,018,111","4,451,361",,0
ABW,Aruba,250,Americas,Latin America and the Caribbean,"1,252,398","-7,002,703",,0
AUS,Australia,270,Oceania,Australia and New Zealand,"-3,528,346","14,912,807",,0
AUT,Austria,300,Europe,Western Europe,"4,820,849","1,637,208",,0
AZE,Azerbaijan,1092,Asia,Western Asia,"4,037,767","4,989,201",,0
BHS,Bahamas,6030,Americas,Latin America and the Caribbean,"2,505,823","-7,734,306",,0
BHR,Bahrain,6040,Asia,Western Asia,"2,622,787","5,058,565",,0
BGD,Bangladesh,5070,Asia,Southern Asia,"237,104","9,040,744",,0
BRB,Barbados,420,Americas,Latin America and the Caribbean,"1,310,732","-5,962,021",,0
BLR,Belarus,1324,Europe,Eastern Europe,"53,9","2,756,667",,0
BEL,Belgium,480,Europe,Western Europe,"5,085,045","434,878",,0
BLZ,Belize,6110,Americas,Latin America and the Caribbean,"17,25","-8,876,667",,0
BEN,Benin,1170,Africa,Sub-Saharan Africa,"649,646","260,359",,0
BTN,Bhutan,490,Asia,Southern Asia,"2,746,609","8,964,191",,0
BOL,Bolivia,510,Americas,Latin America and the Caribbean,"-16,5","-68,15",,0
BIH,Bosnia And Herzegovina,1367,Europe,Southern Europe,"4,384,864","1,835,644",,0
BWA,Botswana,520,Africa,Sub-Saharan Africa,"-2,465,451","2,590,859",,0
BRA,Brazil,540,Americas,Latin America and the Caribbean,"-1,577,972","-4,792,972",,0
BRN,Brunei Darussalam,6020,Asia,South-eastern Asia,"494,029","11,494,806",,0
BGR,Bulgaria,570,Europe,Eastern Europe,"4,269,751","2,332,415",,0
BFA,Burkina Faso,4590,Africa,Sub-Saharan Africa,"1,236,566","-153,388",,0
MMR,Burma,7053,Asia,South-eastern Asia,,,,-1
BDI,Burundi,610,Africa,Sub-Saharan Africa,"-33,822","293,644",,0
KHM,Cambodia,660,Asia,South-eastern Asia,"1,156,245","10,491,601",,0
CMR,Cameroon,690,Africa,Sub-Saharan Africa,"386,667","1,151,667",,0
CAN,Canada,720,Americas,Northern America,"4,541,117","-7,569,812",,0
CPV,Cape Verde,6820,Africa,Sub-Saharan Africa,"1,493,152","-2,351,254",,0
CAF,Central African Republic,750,Africa,Sub-Saharan Africa,"436,122","1,855,496",,0
TCD,Chad,810,Africa,Sub-Saharan Africa,"1,210,672","150,444",,0
CHL,Chile,840,Americas,Latin America and the Caribbean,"-3,345,694","-7,064,827",,0
CHN,China,860,Asia,Eastern Asia,"399,075","11,639,723",,0
COL,Colombia,930,Americas,Latin America and the Caribbean,"460,971","-7,408,175",,0
COM,Comoros,6620,Africa,Sub-Saharan Africa,"-1,170,216","4,325,506",,0
COK,Cook Islands,6790,Oceania,Polynesia,"-212,075","-15,977,545",,0
CRI,Costa Rica,1020,Americas,Latin America and the Caribbean,"993,333","-8,408,333",,0
CIV,Côte d'Ivoire,2250,Africa,Sub-Saharan Africa,"682,055","-527,674",,0
HRV,Croatia,1676,Europe,Southern Europe,"4,581,444","1,597,798",,0
CUB,Cuba,1050,Americas,Latin America and the Caribbean,"2,313,302","-8,238,304",,0
CYP,Cyprus,1110,Asia,Western Asia,"3,517,531","333,642",,0
CZE,Czech Republic,1692,Europe,Eastern Europe,"5,008,804","1,442,076",,0
PRK,Democratic People's Republic of Korea,5150,Asia,Eastern Asia,"3,903,385","12,575,432",,0
COD,Democratic Republic of the Congo,990,Africa,Sub-Saharan Africa,"-432,758","1,531,357",,0
DNK,Denmark,1210,Europe,Northern Europe,"5,567,594","1,256,553",,0
DJI,Djibouti,6690,Africa,Sub-Saharan Africa,"1,158,901","4,314,503",,0
DMA,Dominica,6100,Americas,Latin America and the Caribbean,"1,530,174","-6,138,808",,0
DOM,Dominican Republic,1260,Americas,Latin America and the Caribbean,"1,847,186","-6,989,232",,0
ECU,Ecuador,1350,Americas,Latin America and the Caribbean,"-0,22985","-7,852,495",,0
EGY,Egypt,4500,Africa,Northern Africa,"3,006,263","3,124,967",,0
SLV,El Salvador,1380,Americas,Latin America and the Caribbean,"1,368,935","-8,918,718",,0
GNQ,Equatorial Guinea,1390,Africa,Sub-Saharan Africa,"375,578","878,166",,0
ERI,Eritrea,2737,Africa,Sub-Saharan Africa,"1,533,805","3,893,184",,0
EST,Estonia,2577,Europe,Northern Europe,"5,943,696","2,475,353",,0
SWZ,Eswatini,4030,Africa,Sub-Saharan Africa,"-2,646,667","31,2",,0
ETH,Ethiopia,1410,Africa,Sub-Saharan Africa,"902,497","3,874,689",,0
FJI,Fiji,1430,Oceania,Melanesia,"-1,814,161","17,844,149",,0
FIN,Finland,1440,Europe,Northern Europe,"6,016,952","2,493,545",,0
FRA,France,1470,Europe,Western Europe,"4,885,341","23,488",,0
PYF,French Polynesia,6449,Oceania,Polynesia,"-1,753,733","-1,495,665",,-1
GAB,Gabon,1530,Africa,Sub-Saharan Africa,"0,39241","945,356",,0
GMB,Gambia,1560,Africa,Sub-Saharan Africa,"1,345,274","-1,657,803",,0
GEO,Georgia,3167,Asia,Western Asia,"4,169,411","4,483,368",,0
DEU,Germany,5250,Europe,Western Europe,"5,252,437","1,341,053",,0
GHA,Ghana,1620,Africa,Sub-Saharan Africa,"555,602","-0,1969",,0
GRC,Greece,1650,Europe,Southern Europe,"3,797,945","2,371,622",,0
GRD,Grenada,6160,Americas,Latin America and the Caribbean,"1,205,288","-6,175,226",,0
GTM,Guatemala,1680,Americas,Latin America and the Caribbean,"1,464,072","-9,051,327",,0
GIN,Guinea,1770,Africa,Sub-Saharan Africa,"953,795","-1,367,729",,0
GNB,Guinea-Bissau,6850,Africa,Sub-Saharan Africa,"1,186,357","-1,559,767",,0
GUY,Guyana,1800,Americas,Latin America and the Caribbean,"680,448","-5,815,527",,0
HTI,Haiti,1830,Americas,Latin America and the Caribbean,"1,854,349","-7,233,881",,0
VAT,Holy See,5350,Europe,Southern Europe,"41,9","124,833,333",,0
